,Year,Summer,Games,Host,NOC,Team,Names,Females,Sports,Events,Medals,Golds,Silvers,Bronzes,Athletes per Event
2699,1980,0,1980 Winter,0,AND,Andorra,3,0,1,3,0,0,0,0,1.0
2700,1980,0,1980 Winter,0,ARG,Argentina,13,0,3,8,0,0,0,0,1.625
2701,1980,0,1980 Winter,0,AUS,Australia,9,4,4,13,0,0,0,0,0.692
2702,1980,0,1980 Winter,0,AUT,Austria,31,10,5,15,6,3,2,1,2.067
2703,1980,0,1980 Winter,0,AUT,Austria-1,8,0,2,3,1,0,0,1,2.667
2704,1980,0,1980 Winter,0,AUT,Austria-2,7,0,2,3,0,0,0,0,2.333
2705,1980,0,1980 Winter,0,BEL,Belgium,2,0,1,3,0,0,0,0,0.667
2706,1980,0,1980 Winter,0,BOL,Bolivia,3,0,1,3,0,0,0,0,1.0
2707,1980,0,1980 Winter,0,BUL,Bulgaria,8,0,3,6,1,0,0,1,1.333
2708,1980,0,1980 Winter,0,CAN,Canada,57,18,8,25,2,0,1,1,2.28
2709,1980,0,1980 Winter,0,CAN,Canada-1,2,0,1,1,0,0,0,0,2.0
2710,1980,0,1980 Winter,0,CAN,Canada-2,2,0,1,1,0,0,0,0,2.0
2711,1980,0,1980 Winter,0,CHN,China,24,11,5,19,0,0,0,0,1.263
2712,1980,0,1980 Winter,0,CRC,Costa Rica,1,0,1,3,0,0,0,0,0.333
2713,1980,0,1980 Winter,0,CYP,Cyprus,3,1,1,4,0,0,0,0,0.75
2714,1980,0,1980 Winter,0,ESP,Spain,8,3,3,8,0,0,0,0,1.0
2715,1980,0,1980 Winter,0,FIN,Finland,52,8,7,24,9,1,5,3,2.167
2716,1980,0,1980 Winter,0,FRA,France,22,6,6,16,1,0,0,1,1.375
2717,1980,0,1980 Winter,0,FRG,West Germany,68,19,9,31,5,0,2,3,2.194
2718,1980,0,1980 Winter,0,FRG,West Germany-1,6,0,2,3,0,0,0,0,2.0
2719,1980,0,1980 Winter,0,FRG,West Germany-2,8,0,2,3,0,0,0,0,2.667
2720,1980,0,1980 Winter,0,GBR,Great Britain,32,10,6,24,1,1,0,0,1.333
2721,1980,0,1980 Winter,0,GBR,Great Britain-1,8,1,3,4,0,0,0,0,2.0
2722,1980,0,1980 Winter,0,GBR,Great Britain-2,10,1,3,4,0,0,0,0,2.5
2723,1980,0,1980 Winter,0,GDR,East Germany,38,15,7,25,17,7,6,4,1.52
2724,1980,0,1980 Winter,0,GDR,East Germany-1,8,1,3,4,4,2,0,2,2.0
2725,1980,0,1980 Winter,0,GDR,East Germany-2,10,1,3,4,2,0,1,1,2.5
2726,1980,0,1980 Winter,0,GRE,Greece,3,0,1,2,0,0,0,0,1.5
2727,1980,0,1980 Winter,0,HUN,Hungary,2,1,1,1,1,0,1,0,2.0
2728,1980,0,1980 Winter,0,ISL,Iceland,6,1,2,6,0,0,0,0,1.0
2729,1980,0,1980 Winter,0,ITA,Italy,42,12,8,26,1,0,1,0,1.615
2730,1980,0,1980 Winter,0,ITA,Italy-1,4,0,2,2,1,0,1,0,2.0
2731,1980,0,1980 Winter,0,ITA,Italy-2,4,0,2,2,0,0,0,0,2.0
2732,1980,0,1980 Winter,0,JPN,Japan,50,4,10,27,1,0,1,0,1.852
